date,ticker,close
2020-03-31,LTC,56.373
2020-03-31,BNB,17.334
2020-03-31,ATOM,3.769
2020-03-31,EOS,3.447
2020-03-31,LINK,2.995
2020-03-31,USDC,1.007
2020-03-31,USDT,1.001
2020-03-31,XRP,0.225
2020-03-31,MIOTA,0.224
2020-03-31,XLM,0.056
2020-03-31,CRO,0.049
2020-03-31,ADA,0.045
2020-03-31,XEM,0.045
2020-03-31,TRX,0.016
2020-03-31,DOGE,0.002
2019-12-31,WBTC,8027.801
2019-12-31,BTC,8019.363
2019-12-31,ETH,163.54
2019-12-31,XMR,55.015
2019-12-31,LTC,51.596
2019-12-31,BNB,16.917
2019-12-31,ATOM,3.542
2019-12-31,EOS,2.936
2019-12-31,LINK,2.364
2019-12-31,USDT,1.005
2019-12-31,USDC,1.004
2019-12-31,XRP,0.25
2019-12-31,MIOTA,0.234
2019-12-31,XLM,0.06
2019-12-31,ADA,0.039
2019-12-31,XEM,0.038
2019-12-31,CRO,0.033
2019-12-31,TRX,0.016
2019-12-31,DOGE,0.002
2019-09-30,BTC,10381.654
2019-09-30,WBTC,10376.627
2019-09-30,ETH,211.642
2019-09-30,LTC,83.418
2019-09-30,XMR,80.546
2019-09-30,BNB,25.943
2019-09-30,EOS,4.055
2019-09-30,ATOM,3.338
2019-09-30,LINK,2.275
2019-09-30,USDT,1.002
2019-09-30,USDC,1.001
2019-09-30,XRP,0.297
2019-09-30,MIOTA,0.285
2019-09-30,XLM,0.076
2019-09-30,XEM,0.059
2019-09-30,ADA,0.054
2019-09-30,CRO,0.051
2019-09-30,TRX,0.021
2019-09-30,DOGE,0.003
2019-06-30,BTC,7301.446
2019-06-30,WBTC,7234.221
2019-06-30,ETH,220.183
2019-06-30,LTC,98.923
2019-06-30,XMR,80.967
2019-06-30,BNB,27.177
2019-06-30,EOS,5.983
2019-06-30,ATOM,5.002
2019-06-30,LINK,1.028
2019-06-30,USDC,1.003
2019-06-30,USDT,1.002
2019-06-30,MIOTA,0.375
2019-06-30,XRP,0.373
2019-06-30,XLM,0.119
2019-06-30,ADA,0.083
2019-06-30,XEM,0.076
2019-06-30,CRO,0.068
2019-06-30,TRX,0.029
2019-06-30,DOGE,0.003
2019-03-31,WBTC,3848.454
2019-03-31,BTC,3799.331
2019-03-31,ETH,131.03
2019-03-31,XMR,49.219
2019-03-31,LTC,44.502
2019-03-31,BNB,10.196
2019-03-31,ATOM,4.338
2019-03-31,EOS,3.111
2019-03-31,USDC,1.013
2019-03-31,USDT,1.01
2019-03-31,LINK,0.449
2019-03-31,XRP,0.319
2019-03-31,MIOTA,0.298
2019-03-31,XLM,0.097
2019-03-31,XEM,0.049
2019-03-31,ADA,0.046
2019-03-31,CRO,0.026
2019-03-31,TRX,0.024
2019-03-31,DOGE,0.002
2018-12-31,BTC,5200.09
2018-12-31,ETH,162.601
2018-12-31,XMR,80.745
2018-12-31,LTC,42.034
2018-12-31,BNB,7.642
2018-12-31,EOS,4.096
2018-12-31,USDC,1.013
2018-12-31,USDT,0.997
2018-12-31,XRP,0.421
2018-12-31,MIOTA,0.402
2018-12-31,LINK,0.359
2018-12-31,XLM,0.192
2018-12-31,XEM,0.085
2018-12-31,ADA,0.058
2018-12-31,CRO,0.023
2018-12-31,TRX,0.019
2018-12-31,DOGE,0.003
2018-09-30,BTC,6821.317
2018-09-30,ETH,338.81
2018-09-30,XMR,116.919
2018-09-30,LTC,67.91
2018-09-30,BNB,11.554
2018-09-30,EOS,6.445
2018-09-30,USDT,1.001
2018-09-30,MIOTA,0.754
2018-09-30,XRP,0.398
2018-09-30,LINK,0.275
2018-09-30,XLM,0.234
2018-09-30,XEM,0.13
2018-09-30,ADA,0.115
2018-09-30,TRX,0.027
2018-09-30,DOGE,0.004
2018-06-30,BTC,7766.968
2018-06-30,ETH,574.633
2018-06-30,XMR,183.993
2018-06-30,LTC,124.946
2018-06-30,BNB,13.937
2018-06-30,EOS,11.879
2018-06-30,MIOTA,1.58
2018-06-30,USDT,1.0
2018-06-30,XRP,0.654
2018-06-30,LINK,0.37
2018-06-30,XLM,0.294
2018-06-30,XEM,0.285
2018-06-30,ADA,0.225
2018-06-30,TRX,0.058
2018-06-30,DOGE,0.004
2018-03-31,BTC,10568.062
2018-03-31,ETH,867.321
2018-03-31,XMR,293.417
2018-03-31,LTC,190.259
2018-03-31,BNB,11.597
2018-03-31,EOS,9.225
2018-03-31,MIOTA,2.144
2018-03-31,XRP,1.204
2018-03-31,USDT,1.002
2018-03-31,XEM,0.695
2018-03-31,LINK,0.639
2018-03-31,ADA,0.446
2018-03-31,XLM,0.419
2018-03-31,TRX,0.061
2018-03-31,DOGE,0.006
2017-12-31,BTC,9507.376
2017-12-31,ETH,435.635
2017-12-31,XMR,180.848
2017-12-31,LTC,118.741
2017-12-31,EOS,3.188
2017-12-31,BNB,2.614
2017-12-31,MIOTA,1.669
2017-12-31,USDT,1.006
2017-12-31,XRP,0.425
2017-12-31,XEM,0.362
2017-12-31,LINK,0.296
2017-12-31,ADA,0.128
2017-12-31,XLM,0.088
2017-12-31,TRX,0.01
2017-12-31,DOGE,0.003
2017-09-30,BTC,3482.149
2017-09-30,ETH,272.708
2017-09-30,XMR,72.428
2017-09-30,LTC,51.138
2017-09-30,EOS,1.468
2017-09-30,BNB,1.107
2017-09-30,USDT,1.002
2017-09-30,MIOTA,0.529
2017-09-30,LINK,0.22
2017-09-30,XEM,0.219
2017-09-30,XRP,0.197
2017-09-30,XLM,0.018
2017-09-30,DOGE,0.002
2017-09-30,TRX,0.002
2017-06-30,BTC,1912.552
2017-06-30,ETH,162.861
2017-06-30,XMR,33.952
2017-06-30,LTC,24.949
2017-06-30,USDT,0.991
2017-06-30,MIOTA,0.426
2017-06-30,XRP,0.182
2017-06-30,XEM,0.127
2017-06-30,XLM,0.026
2017-06-30,DOGE,0.002
2017-03-31,BTC,1034.707
2017-03-31,ETH,19.346
2017-03-31,XMR,14.592
2017-03-31,LTC,4.028
2017-03-31,USDT,1.0
2017-03-31,XEM,0.008
2017-03-31,XRP,0.007
2017-03-31,XLM,0.002
2017-03-31,DOGE,0.0
